population,mse,r2,selected_indices,source
CA,0.028554644104150723,0.9738230914055779,"[1, 0, 2, 10, 11, 12, 17]",our_method
NY,0.012412957111012094,0.9728589696033164,"[1, 0, 2, 10, 11, 12, 17]",our_method
FL,0.02579978531907648,0.970059070211601,"[1, 0, 2, 10, 11, 12, 17]",our_method
CA,0.3678178610864299,0.6628102071965333,"[4, 11, 10, 9, 8, 12, 13]",baseline_lasso
NY,0.14879566787396925,0.6746570773953989,"[4, 11, 10, 9, 8, 12, 13]",baseline_lasso
FL,0.3037340250288483,0.6475133802368352,"[4, 11, 10, 9, 8, 12, 13]",baseline_lasso
CA,0.22655771197315902,0.7923076717030167,"[3, 4, 5, 6, 7, 8, 9]",baseline_dro_lasso
NY,0.13822252828440354,0.6977753320080892,"[3, 4, 5, 6, 7, 8, 9]",baseline_dro_lasso
FL,0.22829289952940554,0.735063621985028,"[3, 4, 5, 6, 7, 8, 9]",baseline_dro_lasso
CA,1.0747571092230126,0.014737549985903486,"[11, 10, 13, 9, 15, 6, 7]",baseline_xgb
NY,0.49453881328216204,-0.08131308628493406,"[11, 10, 13, 9, 15, 6, 7]",baseline_xgb
FL,0.8724414241136522,-0.012477704787847266,"[11, 10, 13, 9, 15, 6, 7]",baseline_xgb
CA,1.1079461314393286,-0.01568783363036297,"[6, 15, 12, 13, 14, 7, 10]",baseline_dro_xgb
NY,0.5209918411408248,-0.13915284411019435,"[6, 15, 12, 13, 14, 7, 10]",baseline_dro_xgb
FL,0.8391930648766311,0.026107375560051826,"[6, 15, 12, 13, 14, 7, 10]",baseline_dro_xgb
