population,downstream_accuracy,logloss,selected_indices,source
Male,0.7782026768642447,0.5627197247108566,"[2, 37, 1, 39, 18]",our_method
Female,0.9115384615384615,0.3384570735525974,"[2, 37, 1, 39, 18]",our_method
Male,0.6749521988527725,1.1207529845228392,"[30, 24, 41, 4, 0]",baseline_lasso
Female,0.8807692307692307,0.7726448267013152,"[30, 24, 41, 4, 0]",baseline_lasso
Male,0.7074569789674953,0.5027316719981078,"[39, 37, 3, 14, 18]",baseline_dro_lasso
Female,0.8961538461538462,0.5299652658804984,"[39, 37, 3, 14, 18]",baseline_dro_lasso
Male,0.6634799235181644,0.5358167500025561,"[13, 27, 18, 25, 33]",baseline_xgb
Female,0.9,0.29485653271877804,"[13, 27, 18, 25, 33]",baseline_xgb
Male,0.6730401529636711,0.5314255971704523,"[13, 18, 41, 37, 25]",baseline_dro_xgb
Female,0.9,0.2310799302428508,"[13, 18, 41, 37, 25]",baseline_dro_xgb
