source,population,downstream_accuracy,logloss,downstream_accuracy_std,logloss_std
baseline_dro_lasso,Female,0.8858974358974359,0.6538029219477886,0.009679274917013765,0.27273742327428024
baseline_dro_lasso,Male,0.7202039515615041,0.6264175977603846,0.02719769062250077,0.1920416303659054
baseline_dro_xgb,Female,0.8974358974358974,0.3386498247106973,0.011750194089630335,0.13734597530156561
baseline_dro_xgb,Male,0.7106437221159975,0.5935170561128013,0.03929397741694926,0.09589024947728604
baseline_lasso,Female,0.8961538461538462,0.657054891067058,0.023395240501147108,0.10066562848715302
baseline_lasso,Male,0.7163798597833014,0.8470430729671237,0.03619444452390235,0.32146935221726153
baseline_xgb,Female,0.9038461538461539,0.27863195335147023,0.021414478318577044,0.08272533412561589
baseline_xgb,Male,0.6991714467813894,0.6075180456867808,0.035377155095928425,0.08997495308853255
our_method,Female,0.9179487179487179,0.30033311392813267,0.0058750970448152254,0.08616398389513864
our_method,Male,0.7864882090503506,0.5619987560023043,0.009811857436800946,0.046863460464168935
